arm,step,phys_launches,dev_free_delta_MiB,proc_MiB
base,0,1,0.00,636
base,500,499,0.00,636
base,1000,999,0.00,636
base,1500,1499,0.00,636
base,2000,1999,0.00,636
base,2500,2499,0.00,636
base,3000,2999,0.00,636
base,3500,3499,0.00,636
base,4000,3999,0.00,636
base,4500,4499,0.00,636
base,5000,4999,2.00,638
base,5500,5499,2.00,638
base,6000,5999,2.00,638
base,6500,6499,2.00,638
base,7000,6999,2.00,638
base,7500,7499,2.00,638
base,8000,7999,2.00,638
base,8500,8499,2.00,638
base,9000,8999,4.00,640
base,9500,9499,4.00,640
base,10000,9999,4.00,640
fix,0,1,0.00,636
fix,500,499,0.00,636
fix,1000,999,0.00,636
fix,1500,1499,0.00,636
fix,2000,1999,0.00,636
fix,2500,2499,0.00,636
fix,3000,2999,0.00,636
fix,3500,3499,0.00,636
fix,4000,3999,0.00,636
fix,4500,4499,0.00,636
fix,5000,4999,0.00,636
fix,5500,5499,0.00,636
fix,6000,5999,0.00,636
fix,6500,6499,0.00,636
fix,7000,6999,0.00,636
fix,7500,7499,0.00,636
fix,8000,7999,0.00,636
fix,8500,8499,0.00,636
fix,9000,8999,0.00,636
fix,9500,9499,0.00,636
fix,10000,9999,0.00,636
