arm,api,physcam_thread_count,physcam_thread_count_per_frame,physcam_thread_host_ms_per_frame,all_threads_count,all_threads_host_ms_per_frame
base,cudaDeviceSynchronize,300,5.00,10.6561,420,10.7326
base,cudaStreamSynchronize,120,2.00,0.1399,240,7.4352
base,cudaHostAlloc,60,1.00,1.2261,120,1.8493
base,cudaFreeHost,0,0.00,0.0000,120,0.7605
base,cuMemcpyDtoDAsync,60,1.00,0.0292,120,0.0371
base,cudaMemcpy,360,6.00,0.0209,420,0.0295
base,cudaLaunchKernel,360,6.00,0.0225,420,0.0269
base,cudaMemcpyAsync,120,2.00,0.0117,240,0.0226
base,cudaMalloc,360,6.00,0.0191,360,0.0191
base,cuEventRecord,180,3.00,0.0028,540,0.0092
base,cudaFree,300,5.00,0.0092,300,0.0092
base,cuEventQuery,50,0.83,0.0015,149,0.0035
base,cuKernelGetName,360,6.00,0.0009,420,0.0011
fix,cudaStreamSynchronize,120,2.00,8.2115,240,15.1035
fix,cudaHostAlloc,60,1.00,1.1922,120,2.1007
fix,cudaMemcpyAsync,120,2.00,0.8323,240,0.8467
fix,cudaFreeHost,0,0.00,0.0000,120,0.7737
fix,cuEventRecord,180,3.00,0.0027,540,0.3203
fix,cudaDeviceSynchronize,0,0.00,0.0000,120,0.0749
fix,cudaLaunchKernel,360,6.00,0.0203,420,0.0542
fix,cuMemcpyDtoDAsync,60,1.00,0.0088,120,0.0204
fix,cudaMemcpy,0,0.00,0.0000,60,0.0084
fix,cuEventQuery,50,0.83,0.0010,149,0.0044
fix,cuKernelGetName,360,6.00,0.0009,420,0.0014
