scenario,rep,arm,per_step_ms,upd_med_ms,load1,hash
S1_720p_cam_phys,1,base,20.9144,11.9537,1.76,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,1,fix,20.1476,11.4145,1.83,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,1,base,43.0871,23.3309,1.78,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,1,fix,39.9495,20.3945,1.92,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S3_720p_cam_lidar_phys,1,base,20.9039,11.7467,1.72,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S3_720p_cam_lidar_phys,1,fix,20.3529,11.5605,1.76,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S4_720p_phys,1,base,15.0738,9.2593,1.90,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S4_720p_phys,1,fix,13.6816,7.8704,1.84,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,1,base,5.9016,4.4008,1.79,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,1,fix,5.4194,3.9396,1.74,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,2,fix,19.9219,11.3188,1.76,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,2,base,21.1744,12.0309,1.81,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,2,fix,40.2096,20.4637,1.92,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,2,base,43.4076,23.6780,2.03,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S3_720p_cam_lidar_phys,2,fix,19.7464,10.5756,1.86,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S3_720p_cam_lidar_phys,2,base,21.7683,12.9171,2.04,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S4_720p_phys,2,fix,13.7696,7.8155,2.35,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S4_720p_phys,2,base,14.9504,9.1238,2.29,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,2,fix,5.4945,3.9330,2.17,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,2,base,5.8988,4.3960,2.07,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,3,base,21.3133,12.6937,2.06,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,3,fix,19.4432,10.5700,2.26,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,3,base,43.5362,23.6775,2.14,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S2_1080p_cam_phys,3,fix,40.3930,20.6219,2.11,phys_n=328_5d7af75421b4e8aa_cam_n=328_abb8011f0d697179_lidar_n=0_14650fb0739d0383
S3_720p_cam_lidar_phys,3,base,21.6703,12.9002,2.22,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S3_720p_cam_lidar_phys,3,fix,20.1412,11.3505,2.11,phys_n=328_d487a6c5de736713_cam_n=328_71262cf45c943c7d_lidar_n=328_cf892996669b9d63
S4_720p_phys,3,base,15.0857,9.1754,2.02,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S4_720p_phys,3,fix,13.5381,7.7802,2.01,phys_n=328_a16697ea2b836a6d_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,3,base,5.9685,4.4045,2.08,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S5_360p_phys,3,fix,5.5100,3.9991,1.99,phys_n=328_3a3f533c591774d5_cam_n=0_14650fb0739d0383_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,4,fix,19.8231,11.2861,1.99,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
S1_720p_cam_phys,4,base,21.3161,12.7364,1.93,phys_n=328_26f4064207fee92f_cam_n=328_71262cf45c943c7d_lidar_n=0_14650fb0739d0383
