shape,n,jarvis_ms,colext_monotone_ms,speedup,area_j,area_m,perim_j,perim_m,rel_area,rel_perim
ellipse,159,0.01056,0.00031,34.4,0.0037499999999999756,0.0037499999999999756,0.23938224095341731,0.23938224095341731,0.00e+00,0.00e+00
rect,451,0.02566,0.00049,52.3,0.0099999999999999794,0.0099999999999999534,0.5,0.5,2.60e-15,0.00e+00
annulus,108,0.00747,0.00026,29.0,0.0037499999999999756,0.0037499999999999756,0.23938224095341731,0.23938224095341731,0.00e+00,0.00e+00
ellipse,629,0.06598,0.00079,83.9,0.015300000000000022,0.01529999999999998,0.48124835352406969,0.48124835352406958,2.72e-15,2.31e-16
rect,1701,0.07119,0.00152,46.8,0.040000000000000077,0.040000000000000063,1.0000000000000009,1.0000000000000009,3.47e-16,0.00e+00
annulus,412,0.04300,0.00065,66.1,0.015299999999999966,0.01529999999999998,0.48124835352406964,0.48124835352406958,9.07e-16,1.15e-16
ellipse,2509,0.46911,0.00244,192.6,0.061900000000000073,0.061900000000000073,0.96429448531052608,0.96429448531052597,0.00e+00,1.15e-16
rect,6601,0.50845,0.00526,96.6,0.16000000000000023,0.1600000000000002,2,2,1.73e-16,0.00e+00
annulus,1620,0.29154,0.00176,166.0,0.061900000000000101,0.061900000000000073,0.96429448531052608,0.96429448531052597,4.48e-16,1.15e-16
ellipse,10041,3.10111,0.00886,349.8,0.24980000000000005,0.24979999999999994,1.9335549794697751,1.9335549794697755,4.44e-16,2.30e-16
rect,26001,2.76653,0.02014,137.3,0.63999999999999957,0.63999999999999979,3.9999999999999991,3.9999999999999991,3.47e-16,0.00e+00
annulus,6444,1.94212,0.00593,327.5,0.24980000000000027,0.24979999999999994,1.9335549794697751,1.9335549794697755,1.33e-15,2.30e-16
ellipse,40177,17.81214,0.03178,560.5,1.0019999999999996,1.0019999999999996,3.8705040053290389,3.8705040053290403,0.00e+00,3.44e-16
rect,103201,11.19008,0.07651,146.3,2.5599999999999987,2.5599999999999996,7.9999999999999982,8,3.47e-16,2.22e-16
annulus,25732,11.93107,0.02090,570.8,1.0019999999999998,1.0019999999999996,3.8705040053290403,3.8705040053290403,2.22e-16,0.00e+00
