shape,n,jarvis_ms,rowext_jarvis_ms,monotone_ms,area_j,area_r,area_m,perim_j,perim_r,perim_m
ellipse,159,0.0106,0.0032,0.0014,0.00375,0.00375,0.00375,0.239382240953,0.239382240953,0.239382240953
rect,451,0.0256,0.0146,0.0041,0.01,0.01,0.01,0.5,0.5,0.5
ellipse,629,0.0660,0.0113,0.0058,0.0153,0.0153,0.0153,0.481248353524,0.481248353524,0.481248353524
rect,1701,0.0712,0.0562,0.0194,0.04,0.04,0.04,1,1,1
ellipse,2509,0.4693,0.0459,0.0384,0.0619,0.0619,0.0619,0.964294485311,0.964294485311,0.964294485311
rect,6601,0.5105,0.2136,0.3478,0.16,0.16,0.16,2,2,2
ellipse,10041,3.1008,0.1430,0.5368,0.2498,0.2498,0.2498,1.93355497947,1.93355497947,1.93355497947
rect,26001,2.7660,0.8283,1.5582,0.64,0.64,0.64,4,4,4
ellipse,40177,17.7993,0.5243,2.5236,1.002,1.002,1.002,3.87050400533,3.87050400533,3.87050400533
rect,103201,11.1999,3.2601,7.1149,2.56,2.56,2.56,8,8,8
